,collisions,test_cases_costs,div_scores_norm
432,1,1,0.0853740974
433,1,1,0.3158705589
434,1,1,0.8188802279
435,1,1,0.5354860777
436,0,1,0.1407140445
437,0,1,0.6175168123
438,0,1,0.4235685044
439,1,1,0.3543663055
440,0,1,0.167404832
441,1,1,0.1080618855
442,0,1,0.4363970402
443,0,1,0.2274023681
444,0,1,0.2402309038
445,0,1,0.8401814998
446,0,1,0.1535425802
447,0,1,0.6590617277
448,1,1,0.4944808526
449,0,1,0.0820307346
450,0,1,0.2865605445
451,1,1,0.1860186259
452,1,1,0.8349342155
453,0,1,0.3346623524
454,0,1,0.3648851945
455,1,1,0.5930849807
456,1,1,0.3393199414
457,0,1,0.2865605445
458,1,1,0.1560027579
459,0,1,0.6175168123
460,0,1,0.2865605445
461,1,1,0.5930849807
462,0,1,0.6590617277
463,1,1,0.400049404
464,1,1,0.5339448779
465,1,1,0.3302808045
466,1,1,0.3005325447
467,0,1,0.1687190582
468,1,1,0.1860186259
469,1,1,0.0853740974
470,0,1,0.2274023681
471,1,1,0.2920956431
472,1,1,0.5055191474
473,1,1,0.1742541569
474,1,1,0.1080618855
475,1,1,0.1453716335
476,1,1,0.2045298099
477,0,1,0.167404832
478,1,1,0.5050623546
479,0,1,0.1535425802
480,0,1,0.1962873554
481,0,1,0.3648851945
482,1,1,0.4161033916
483,0,1,0.2402309038
484,1,1,0.612269528
485,0,1,0.6590617277
486,0,1,0.2402309038
487,0,1,0.4235685044
488,1,1,0.4161033916
489,0,1,0.3648851945
490,1,1,0.1560027579
491,0,1,0.3452438544
492,0,1,0.8401814998
493,0,1,0.4363970402
494,1,1,0.6990106624
495,0,1,0.1535425802
496,1,1,0.0
